RGM.171011	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.171623	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.171795	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.171811	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.171849	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.171938	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.171939	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.171958	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.171960	IJstijd	AA2	Coelodonta antiquitatis Blumenbach, 1799	Toren	toren		FALSE																																Coelodonta antiquitatis Blumenbach, 1799	toren		FALSE
RGM.171969	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.172016	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.172020	IJstijd	AA2	Coelodonta antiquitatis Blumenbach, 1799	Toren	toren		FALSE																																Coelodonta antiquitatis Blumenbach, 1799	toren		FALSE
RGM.172029	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.172069	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.172300	IJstijd	DD8.2	Equus hydruntinis	Toren	toren	15/17  1-8-6  V71461 1	FALSE																																Equus hydruntinis	toren	15/17  1-8-6  V71461 1	FALSE
RGM.172314	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.172323	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.172349	IJstijd	AA7.3	Odobenus rosmarus	Toren	toren	16/17 kast reservering IJstijd	FALSE																																Odobenus rosmarus	toren	16/17 kast reservering IJstijd	FALSE
RGM.172413	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.172433	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.18170A	Dinos	n/a	Steneosaurus bollensis	Draadbaan	Draadbaan	L.11	FALSE																								Steneosaurus bollensis	Draadbaan	L.11	FALSE								
RGM.18183	Dinos	n/a	Pterodactylus antiquus	Draadbaan	Draadbaan	03.03.2	TRUE																								Pterodactylus antiquus	Draadbaan	03.03.2	TRUE								
RGM.18184	Dinos	n/a	Pterodactylus antiquus	Draadbaan	Draadbaan	03.04.2	TRUE																								Pterodactylus antiquus	Draadbaan	03.04.2	TRUE								
RGM.18188	Dinos	n/a	Plioplatecarpus sp.	Draadbaan	Draadbaan	03.01.1	TRUE																								Plioplatecarpus sp.	Draadbaan	03.01.1	TRUE								
RGM.18295	IJstijd	AA4.3	Coelodonta antiquitatis	Draadbaan	Draadbaan	03.08.1	TRUE																																Coelodonta antiquitatis	Draadbaan	03.08.1	TRUE
RGM.18324	Dood	808.P.013 (was G.29)	Leptolepis knorri	Toren	Toren		FALSE																				Leptolepis knorri	Toren		FALSE												
RGM.18344	Dinos	n/a	Pelagosaurus typus	Draadbaan	Draadbaan	03.03.2	TRUE																								Pelagosaurus typus	Draadbaan	03.03.2	TRUE								
RGM.18347	Dinos	n/a	Plesiosaurus dolichodeirus	Toren	Toren		FALSE																								Plesiosaurus dolichodeirus	Toren		FALSE								
RGM.18349	Dinos	n/a	Stenopterygius quadriscessus	Draadbaan	Draadbaan	L.11	FALSE																								Stenopterygius quadriscessus	Draadbaan	L.11	FALSE								
RGM.18355	IJstijd	podium	Megaloceros giganteus	Draadbaan	Draadbaan	tba	FALSE																																Megaloceros giganteus	Draadbaan	tba	FALSE
RGM.18356	IJstijd	podium	Ursus spelaea	Draadbaan	Draadbaan	Middenvak	FALSE																																Ursus spelaea	Draadbaan	Middenvak	FALSE
RGM.18445	IJstijd	DD3???	Ursus spelaeus	Draadbaan	Draadbaan	03.12.3	TRUE																																Ursus spelaeus	Draadbaan	03.12.3	TRUE
RGM.184731	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.18811	IJstijd	CC2.3	Mammuthus primigenius	Toren	toren	15/16 4-3-4 V61303 25	FALSE																																Mammuthus primigenius	toren	15/16 4-3-4 V61303 25	FALSE
RGM.21025	IJstijd	BB8.3	Bison priscus	Draadbaan	Draadbaan	03.07.3	TRUE																																Bison priscus	Draadbaan	03.07.3	TRUE
RGM.225129	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.225158	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.225173	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.22553	Dood	808.P.013 (was P.014)	Seirocrinus subangularis	Draadbaan	Draadbaan	L.11	FALSE																				Seirocrinus subangularis	Draadbaan	L.11	FALSE												
RGM.225871	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.225902	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.226046	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.226139	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.2531(?)	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.27034	IJstijd	CC2.2	Mammuthus primigenius	Toren	toren	15/16 5-2-4 V61312 25	FALSE																																Mammuthus primigenius	toren	15/16 5-2-4 V61312 25	FALSE
RGM.273016	LiveScience	tba	Glanerbrug meteoriet	Rooseveltstraat	Rooseveltstraat	Klimaatkast meteorieten	FALSE	Glanerbrug meteoriet	Rooseveltstraat	Klimaatkast meteorieten	FALSE																															
RGM.28265	IJstijd	AA4.3	Coelodonta antiquitatis	Draadbaan	Draadbaan	03.08.1	TRUE																																Coelodonta antiquitatis	Draadbaan	03.08.1	TRUE
RGM.28387	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.2851518	LiveScience	tba	Rozekwarts	Toren	Toren	17rechts, row 123	FALSE	Rozekwarts	Toren	17rechts, row 123	FALSE																															
RGM.291267	Dinos	n/a	Faveoloolithus ningxiaensis	Draadbaan	Draadbaan	tba	FALSE																								Faveoloolithus ningxiaensis	Draadbaan	tba	FALSE								
RGM.30494	IJstijd	DD8.3	Equus ferus	Draadbaan	Draadbaan	03.09.3	TRUE																																Equus ferus	Draadbaan	03.09.3	TRUE
RGM.30503	IJstijd	DD8.3	Equus ferus	Draadbaan	Draadbaan	03.09.3	TRUE																																Equus ferus	Draadbaan	03.09.3	TRUE
RGM.30948	IJstijd	DD8.2	Equus hydruntinis	Toren	toren	15/17  1-8-6  V71461 1 	FALSE																																Equus hydruntinis	toren	15/17  1-8-6  V71461 1 	FALSE
RGM.33347	IJstijd	AA3.1	Coelodonta antiquitatis	Draadbaan	Draadbaan	03.08.3	TRUE																																Coelodonta antiquitatis	Draadbaan	03.08.3	TRUE
RGM.338166	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338167	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338168	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338169	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338170	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338171	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338172	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338173	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338174	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338175	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338176	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338177	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338178	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338179	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338191	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338449	IJstijd	BB4.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338519	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338566	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338568	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.33860	IJstijd	CC4.2	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.338611	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338612	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338613	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.338652	IJstijd	BB5.2	Megaloceros giganteus	Toren	toren	16/17 kast reservering IJstijd	FALSE																																Megaloceros giganteus	toren	16/17 kast reservering IJstijd	FALSE
RGM.338652	IJstijd	BB5.2	Megaloceros giganteus	Toren	toren	16/17 kast reservering IJstijd	FALSE																																Megaloceros giganteus	toren	16/17 kast reservering IJstijd	FALSE
RGM.338664	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.338701	IJstijd	BB4.2	Megaloceros giganteus	Draadbaan	Draadbaan	03.12.3	TRUE																																Megaloceros giganteus	Draadbaan	03.12.3	TRUE
RGM.338805	IJstijd	DD8.3	Equus ferus	Toren	toren	16/17 kast reservering IJstijd	FALSE																																Equus ferus	toren	16/17 kast reservering IJstijd	FALSE
RGM.338920	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.344400	Dinos	n/a	Coelacanthus sp.	Onbekend	??	tba	FALSE																								Coelacanthus sp.	??	tba	FALSE								
RGM.344420	Dood	808.P.013	Paralejurus dormitzeri	Draadbaan	Draadbaan	04.07.2	TRUE																				Paralejurus dormitzeri	Draadbaan	04.07.2	TRUE												
RGM.344927	Dood	808.P.013 (was G.29)	Australaster giganteus	Draadbaan	Draadbaan	04.07.2	TRUE																				Australaster giganteus	Draadbaan	04.07.2	TRUE												
RGM.345067	Dinos	n/a	Sclerocephalus haueseri	Draadbaan	Draadbaan	04.01.2	FALSE																								Sclerocephalus haueseri	Draadbaan	04.01.2	FALSE								
RGM.345069	Dinos	n/a	Archaeopteryx lithographica	Draadbaan	Draadbaan	03.02.2	TRUE																								Archaeopteryx lithographica	Draadbaan	03.02.2	TRUE								
RGM.345079	Dood	808.P.013	Calamites sp.	Draadbaan	Draadbaan	t/o L.14	FALSE																				Calamites sp.	Draadbaan	t/o L.14	FALSE												
RGM.345769	Dinos	n/a	Coccosteus cuspidatus	Draadbaan	Draadbaan	03.03.2	TRUE																								Coccosteus cuspidatus	Draadbaan	03.03.2	TRUE								
RGM.34827	IJstijd	DD3.1	Ursus arctos L.	Toren	toren	15/17 6-3-6  V19000 1	FALSE																																Ursus arctos L.	toren	15/17 6-3-6  V19000 1	FALSE
RGM.34978	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.352237	Dood	808.P.013 (was G.29)	Homotelus bromidensis	Draadbaan	Draadbaan	04.07.2	TRUE																				Homotelus bromidensis	Draadbaan	04.07.2	TRUE												
RGM.352459	Dood	808.P.013	Placenticeras meeki	Draadbaan	Draadbaan	04.07.1	TRUE																				Placenticeras meeki	Draadbaan	04.07.1	TRUE												
RGM.352465	Dood	808.P.013 (was G.29)	Dactylioceras athleticum	Draadbaan	Draadbaan 	04.07.1	TRUE																				Dactylioceras athleticum	Draadbaan 	04.07.1	TRUE												
RGM.354846	Dood	808.P.013	Clupeidae	Onbekend	Onbekend		FALSE																				Clupeidae	Onbekend		FALSE												
RGM.36047	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.369029	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369037	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369049	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.369144	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.369223	IJstijd	DD3.1	Ursus arctos L.	Toren	toren	15/17 6-3-6  V19000 1	FALSE																																Ursus arctos L.	toren	15/17 6-3-6  V19000 1	FALSE
RGM.369225	IJstijd	DD3.2	Crocuta spelaea	Toren			FALSE																																Crocuta spelaea			FALSE
RGM.369291	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369296	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.369297	IJstijd	CC2.2	Mammuthus primigenius	Toren	toren	15/16 5-5-4 V61313 21	FALSE																																Mammuthus primigenius	toren	15/16 5-5-4 V61313 21	FALSE
RGM.369311	IJstijd	BB8.3	Bison priscus	Toren	toren	16/17 kast reservering IJstijd	FALSE																																Bison priscus	toren	16/17 kast reservering IJstijd	FALSE
RGM.369332	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.369339	IJstijd		Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.369343	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.369491	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369576	IJstijd	AA7.4	Hippopotamus sp.	Toren	toren	15/17 6-3-3 V57412 1	FALSE																																Hippopotamus sp.	toren	15/17 6-3-3 V57412 1	FALSE
RGM.369600	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369626	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369626	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369662	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369662	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369663	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369663	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369680	IJstijd	DD3.1	Ursus arctos L.	Toren	toren	15/17 6-3-6  V19000 1	FALSE																																Ursus arctos L.	toren	15/17 6-3-6  V19000 1	FALSE
RGM.369681	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.369685	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369685	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.36974	IJstijd	AA8	Ursus etruscus	Toren	toren	16/17 kast reservering IJstijd	FALSE																																Ursus etruscus	toren	16/17 kast reservering IJstijd	FALSE
RGM.369840	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369841	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369896	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.369929	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.369940	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.369971	IJstijd	DD3.2	Crocuta spelaea	Toren			FALSE																																Crocuta spelaea			FALSE
RGM.388130	IJstijd		Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.388152	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388153	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388154	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388155	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388156	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388157	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388209	IJstijd	DD8.2	Equus hydruntinis	Toren	toren	15/17  1-8-6  V71461 1	FALSE																																Equus hydruntinis	toren	15/17  1-8-6  V71461 1	FALSE
RGM.388291	IJstijd	DD3.1	Ursus arctos L.	Toren	toren	15/17 6-3-6  V19000 1	FALSE																																Ursus arctos L.	toren	15/17 6-3-6  V19000 1	FALSE
RGM.388309	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.388335	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388335	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388342	IJstijd	CC4	Mammuthus primigenius	Toren	toren	16/17 kast reservering IJstijd	FALSE																																Mammuthus primigenius	toren	16/17 kast reservering IJstijd	FALSE
RGM.388377	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.388478	IJstijd	AA6.1	Felis catus	Toren			FALSE																																Felis catus			FALSE
RGM.388662	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388663	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388664	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388665	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.388697	IJstijd	DD3.2	Crocuta spelaea	Toren			FALSE																																Crocuta spelaea			FALSE
RGM.388722	IJstijd	DD3.1	Ursus arctos L.	Toren	toren	15/17 6-3-6  V19000 1	FALSE																																Ursus arctos L.	toren	15/17 6-3-6  V19000 1	FALSE
RGM.388830	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.388873	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.388874	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.388875	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.388878	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.388915	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.388916	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.388917	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.388918	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.393667	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.393669	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE																															
RGM.400011	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE																																Mammuthus primigenius	toren		FALSE
RGM.400479	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400481	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400482	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400483	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400484	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400485	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400486	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400487	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400488	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400489	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400490	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400491	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400492	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400493	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400494	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400495	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400496	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400497	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400498	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400499	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400500	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400506	IJstijd	BB4.2	Megaloceros giganteus	Draadbaan	Draadbaan	03.12.2	TRUE																																Megaloceros giganteus	Draadbaan	03.12.2	TRUE
RGM.400509	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400510	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400511	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400512	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400513	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400514	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400515	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400516	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400517	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400518	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400519	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400520	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400521	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400522	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.400892	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.400893	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.400894	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.400897	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE																																Coelodonta antiquitatis			FALSE
RGM.400964	IJstijd	DD3.2	Crocuta spelaea	Toren			FALSE																																Crocuta spelaea			FALSE
RGM.400975	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE																																Panthera spelaea			FALSE
RGM.401431	IJstijd	BB1	Homotherium latidens	Draadbaan	Draadbaan	03.12.3	TRUE																																Homotherium latidens	Draadbaan	03.12.3	TRUE
RGM.401546	IJstijd	BB1	Crocuta spelaea	Draadbaan	Draadbaan	03.12.3	TRUE																																Crocuta spelaea	Draadbaan	03.12.3	TRUE
RGM.401578	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.401579	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.401580	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE																																Megaloceros giganteus			FALSE
RGM.401639	IJstijd	DD3.1	Ursus arctos L.	Toren	toren	15/17 6-3-6  V19000 1	FALSE																																Ursus arctos L.	toren	15/17 6-3-6  V19000 1	FALSE
RGM.401853	IJstijd	AA8	Mammuthus meridionalis	Draadbaan	Draadbaan	04.13.3	TRUE																																Mammuthus meridionalis	Draadbaan	04.13.3	TRUE
