"REGISTRATIONNUMBER","INST_COLL_SUBCOLL","TRANSFERREASON","PRESERVEDPART","ICOONURL","URL","FULLSCIENTIFICNAME","GENUS","EPITHET"
"RGM.103068","Macro Vertebrates","","metatarsus","","","Equus hemionus Pallas, 1775","Equus","hemionus"
"RGM.103142","Macro Vertebrates","Loan to Nat. Hist. Mus. Rotterdam d.d. 27-3-2008","mandibula","","","Panthera gombaszoegensis (Kretzoi, 1938)","Panthera","gombaszoegensis"
"RGM.103196","Macro Vertebrates","","humerus","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.103211","Macro Vertebrates","","cranium","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.103244","Macro Vertebrates","","cranium","","","Felis catus L.","Felis","catus"
"RGM.103348","Macro Vertebrates","","cranium","","","Rangifer tarandus L.","Rangifer","tarandus"
"RGM.103350","Macro Vertebrates","","mandibula","","","Homotherium sp.","Homotherium","sp."
"RGM.103350","Macro Vertebrates","","mandibula","http://medialib.naturalis.nl/file/id/RGM.103350/format/small","http://medialib.naturalis.nl/file/id/RGM.103350/format/large","Homotherium sp.","Homotherium","sp."
"RGM.103351","Macro Vertebrates","","tibia","","","Crocuta crocuta spelaea (Goldfuss, 1823)","Crocuta","crocuta"
"RGM.103506","Macro Vertebrates","","humerus","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.103516","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.103742","Macro Vertebrates","","humerus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.103743","Macro Vertebrates","","humerus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.103804","Macro Vertebrates","","humerus","","","Castor fiber L.","Castor","fiber"
"RGM.103846","Macro Vertebrates","","metatarsus","","","Equus hydruntinis","Equus","hydruntinis"
"RGM.103860","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.103866","Macro Vertebrates","","cranium","http://medialib.naturalis.nl/file/id/RGM.103866_2/format/small","http://medialib.naturalis.nl/file/id/RGM.103866_2/format/large","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.103866","Macro Vertebrates","","cranium","http://medialib.naturalis.nl/file/id/RGM.103866_1/format/small","http://medialib.naturalis.nl/file/id/RGM.103866_1/format/large","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.103970","Macro Vertebrates","","unknown","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104049","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104129","Macro Vertebrates","","metatarsus","","","Equus hydruntinis","Equus","hydruntinis"
"RGM.104308","Macro Vertebrates","","phalange I","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104345","Macro Vertebrates","","metatarsus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104363","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104395","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104410","Macro Vertebrates","","calcaneum","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104429","Macro Vertebrates","","metatarsus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104460","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104483","Macro Vertebrates","","metatarsus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104488","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104555","Macro Vertebrates","gereserveerd voor Geomax 2009","cranium","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.104593","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.104698","Macro Vertebrates","","vertebra thoracalis","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.104724","Macro Vertebrates","","scapula","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.104765","Macro Vertebrates","","molar 3","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.104953","Macro Vertebrates","","calcaneum","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.11595","Macro Vertebrates","","metacarpus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.117613","Macro Vertebrates","","pelvis","","","Castor fiber L.","Castor","fiber"
"RGM.117640","Macro Vertebrates","","mandibula","","","Putorius putorius L.","Putorius","putorius"
"RGM.117740","Macro Vertebrates","","cranium","","","Canis lupus (L.)","Canis","lupus"
"RGM.117795","Macro Vertebrates","","molar 3","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.117796","Macro Vertebrates","","molar 2","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.117797","Macro Vertebrates","","molar 3","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.117845","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.118296","Macro Vertebrates","","metacarpus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.118443","Macro Vertebrates","","coprolite","","","Crocuta crocuta spelaea (Goldfuss, 1823)","Crocuta","crocuta"
"RGM.118521","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.119130","Macro Vertebrates","","humerus","","","Talpa europaea L.","Talpa","europaea"
"RGM.119423","Macro Vertebrates","","astragalus","","","Ursus arctos L.","Ursus","arctos"
"RGM.119457","Macro Vertebrates","","metacarpus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.119592","Macro Vertebrates","","cranium","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.119652","Macro Vertebrates","","cranium","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.119677","Macro Vertebrates","","humerus","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.119751","Macro Vertebrates","","cranium","","","Felis catus L.","Felis","catus"
"RGM.119850","Macro Vertebrates","","cranium","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.119988","Macro Vertebrates","","cranium","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.12133","Macro Vertebrates","","humerus","","","Megaceros giganteus","Megaceros","giganteus"
"RGM.12182","Macro Vertebrates","","cranium","http://medialib.naturalis.nl/file/id/RGM.12182/format/small","http://medialib.naturalis.nl/file/id/RGM.12182/format/large","Hippopotamus amphibius L.","Hippopotamus","amphibius"
"RGM.12182","Macro Vertebrates","","cranium","","","Hippopotamus amphibius L.","Hippopotamus","amphibius"
"RGM.12279","Macro Vertebrates","","cranium","http://medialib.naturalis.nl/file/id/RGM.12279/format/small","http://medialib.naturalis.nl/file/id/RGM.12279/format/large","Castor fiber L.","Castor","fiber"
"RGM.122816","Macro Vertebrates","","humerus","","","Castor fiber L.","Castor","fiber"
"RGM.122864","Macro Vertebrates","","unknown","","","Marmota marmota primigenia (Kaup, 1839)","Marmota","marmota"
"RGM.12288","Macro Vertebrates","Exhibition ""Oerparade"" 0125.01.00","cranium","","","Alces alces L.","Alces","alces"
"RGM.12300","Macro Vertebrates","Exhibition ""Oerparade"" 0125.05.00","molar 3","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.123048","Macro Vertebrates","","vertebra lumbalis","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.12308","Macro Vertebrates","Exhibition ""Oerparade"" 0125.01.00","mandibula","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.123121","Macro Vertebrates","","metacarpus V","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.12315","Macro Vertebrates","","mandibula","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.12316","Macro Vertebrates","","cranium","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.12322","Macro Vertebrates","Exhibition ""Oerparade"" 0125.01.00","unknown","","","Cervus elaphus (L.)","Cervus","elaphus"
"RGM.123311","Macro Vertebrates","","femur","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.123324","Macro Vertebrates","","scapula","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.123414","Macro Vertebrates","","cranium","","","Equus caballus L.","Equus","caballus"
"RGM.123451","Macro Vertebrates","","incisor","","","Rattus rattus L.","Rattus","rattus"
"RGM.123452","Macro Vertebrates","","incisor","","","Rattus rattus L.","Rattus","rattus"
"RGM.123455","Macro Vertebrates","","mandibula","","","Apodemus sp.","Apodemus","sp."
"RGM.123458","Macro Vertebrates","","pelvis","","","Rodentia Gen. indet. sp. indet.","Rodentia Gen. indet.","sp. indet."
"RGM.123460","Macro Vertebrates","","mandibula","","","Rattus rattus L.","Rattus","rattus"
"RGM.123461","Macro Vertebrates","","mandibula","","","Microtus sp.","Microtus","sp."
"RGM.123464","Macro Vertebrates","","incisor","","","Apodemus sp.","Apodemus","sp."
"RGM.123465","Macro Vertebrates","","mandibula","","","Microtus sp.","Microtus","sp."
"RGM.123469","Macro Vertebrates","","mandibula","","","Arvicola sp.","Arvicola","sp."
"RGM.123473","Macro Vertebrates","","mandibula","","","Rattus rattus L.","Rattus","rattus"
"RGM.123778","Macro Vertebrates","","molar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.123942","Macro Vertebrates","","femur","","","Crocuta crocuta spelaea (Goldfuss, 1823)","Crocuta","crocuta"
"RGM.123947","Macro Vertebrates","","phalange I","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.123999","Macro Vertebrates","","humerus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.124108","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.124228","Macro Vertebrates","","cranium","","","Equus caballus L.","Equus","caballus"
"RGM.124229","Macro Vertebrates","","cranium","","","Equus caballus L.","Equus","caballus"
"RGM.124271","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.124355","Macro Vertebrates","","femur","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.124425","Macro Vertebrates","","costa","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.12458","Macro Vertebrates","Exhibition ""Oerparade"" 0098.01.00","cranium","","","Thoracosaurus macrorhynchus","Thoracosaurus","macrorhynchus"
"RGM.124649","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.124864","Macro Vertebrates","","ulna","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.124907","Macro Vertebrates","","costa","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.124972","Macro Vertebrates","","femur","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.124984","Macro Vertebrates","","deciduous molar","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.124985","Macro Vertebrates","","humerus","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.132551","Macro Vertebrates","","ulna","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.132916","Macro Vertebrates","","tibia","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.132937","Macro Vertebrates","","humerus","","","Lutra lutra (L.)","Lutra","lutra"
"RGM.133087","Macro Vertebrates","","mandibula","","","Crocuta crocuta spelaea (Goldfuss, 1823)","Crocuta","crocuta"
"RGM.133090","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133097","Macro Vertebrates","15/17. 4-2-6. gereserveerd voor Geomax 2009","phalange III","","","Equus caballus L.","Equus","caballus"
"RGM.133128","Macro Vertebrates","","cranium","","","Ursus arctos L.","Ursus","arctos"
"RGM.133128","Macro Vertebrates","","cranium","http://medialib.naturalis.nl/file/id/RGM.133128/format/small","http://medialib.naturalis.nl/file/id/RGM.133128/format/large","Ursus arctos L.","Ursus","arctos"
"RGM.133172","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133173","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133181","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.1332242","Macro Vertebrates","","Trace","","","","Rhynchosauroides","peabodyi"
"RGM.1332243","Macro Vertebrates","","cast","","","","Stegosaurus","stenops"
