RGM.119988	IJstijd	BB7	Bison priscus	Steppenwisent	Draadbaan	Draadbaan	03.07.2		TRUE																																												Bison priscus	Steppenwisent	Draadbaan	03.07.2	TRUE
RGM.12133	IJstijd	BB4.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.12182	IJstijd	AA7.4	Hippopotamus amphibius L.		Toren	toren	15/17 6-3-3 V57110 1		FALSE																																												Hippopotamus amphibius L.		toren	15/17 6-3-3 V57110 1	FALSE
RGM.12279	IJstijd	AA6.1	Castor fiber L.		Toren	Toren	15/17 5-3-6 V22110 1		FALSE																																												Castor fiber L.		Toren	15/17 5-3-6 V22110 1	FALSE
RGM.122816	IJstijd	AA6.1	Castor fiber L.		Toren				FALSE																																												Castor fiber L.				FALSE
RGM.122864	IJstijd	DD4.2 vitrine	Marmota marmota		Toren	Toren	15/17 2-9-3		FALSE																																												Marmota marmota		Toren	15/17 2-9-3	FALSE
RGM.12288	IJstijd	AA6.2	Alces alces	eland	Draadbaan	Draadbaan	03.09.1		TRUE																																												Alces alces	eland	Draadbaan	03.09.1	TRUE
RGM.12300	IJstijd	CC4	Mammuthus primigenius		Toren	toren	16/17 kast reservering IJstijd		FALSE																																												Mammuthus primigenius		toren	16/17 kast reservering IJstijd	FALSE
RGM.123048	IJstijd	DD5.1	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.12308	IJstijd	CC4	Mammuthus primigenius	Wolharige mammoet	Draadbaan	Draadbaan	04.13.3		TRUE																																												Mammuthus primigenius	Wolharige mammoet	Draadbaan	04.13.3	TRUE
RGM.123121	IJstijd	DD3.2	Panthera spelaea		Toren				FALSE																																												Panthera spelaea				FALSE
RGM.12315	IJstijd	AA3.1	Coelodonta antiquitatis	Wolharige neushoorn	Draadbaan	Draadbaan	03.08.2		TRUE																																												Coelodonta antiquitatis	Wolharige neushoorn	Draadbaan	03.08.2	TRUE
RGM.12316	IJstijd	AA4.3	Coelodonta antiquitatis	wolharige neushoorn	Draadbaan	Draadbaan	03.08.2		TRUE																																												Coelodonta antiquitatis	wolharige neushoorn	Draadbaan	03.08.2	TRUE
RGM.12322	IJstijd	podium	Cervus elaphus	Edelhert	Draadbaan	Draadbaan	tba		FALSE																																												Cervus elaphus	Edelhert	Draadbaan	tba	FALSE
RGM.123311	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.123324	IJstijd	CC2.3	Mammuthus primigenius		Toren	toren	15/16 4-6-3 V61302 28		FALSE																																												Mammuthus primigenius		toren	15/16 4-6-3 V61302 28	FALSE
RGM.123414	IJstijd	DD8.3	Equus ferus	Paard	Draadbaan	Draadbaan	03.09.3		TRUE																																												Equus ferus	Paard	Draadbaan	03.09.3	TRUE
RGM.123451	IJstijd	DD4.2 vitrine	Rattus rattus		Toren				FALSE																																												Rattus rattus				FALSE
RGM.123452	IJstijd	DD4.2 vitrine	Rattus rattus		Toren				FALSE																																												Rattus rattus				FALSE
RGM.123455	IJstijd	DD4 vitrine	Apodemus		Toren				FALSE																																												Apodemus				FALSE
RGM.123458	IJstijd	DD4.2 vitrine	Rodentia sp.		Toren				FALSE																																												Rodentia sp.				FALSE
RGM.123460	IJstijd	DD4.2 vitrine	Rattus rattus		Toren				FALSE																																												Rattus rattus				FALSE
RGM.123461	IJstijd	DD4.2 vitrine	Microtus		Toren				FALSE																																												Microtus				FALSE
RGM.123464	IJstijd	DD4.2 vitrine	Apodemus		Toren				FALSE																																												Apodemus				FALSE
RGM.123465	IJstijd	DD4.2 vitrine	Microtus		Toren				FALSE																																												Microtus				FALSE
RGM.123469	IJstijd	DD4.2 vitrine	Arvicola		Toren				FALSE																																												Arvicola				FALSE
RGM.123473	IJstijd	DD4.2 vitrine	Rattus rattus		Toren				FALSE																																												Rattus rattus				FALSE
RGM.123778	IJstijd	AA4.1	Coelodonta antiquitatis		Toren				FALSE																																												Coelodonta antiquitatis				FALSE
RGM.123942	IJstijd	DD3.2	Crocuta spelaea		Toren				FALSE																																												Crocuta spelaea				FALSE
RGM.123947	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.123999	IJstijd	BB4.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.124108	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.124228	IJstijd	DD8.3	Equus ferus	Paard	Draadbaan	Draadbaan	03.09.2		TRUE																																												Equus ferus	Paard	Draadbaan	03.09.2	TRUE
RGM.124229	IJstijd	DD8.3	Equus ferus	Paard	Draadbaan	Draadbaan	03.09.2		TRUE																																												Equus ferus	Paard	Draadbaan	03.09.2	TRUE
RGM.124271	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.124355	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.124425	IJstijd	DD5.1	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.12458	Dinos	n/a	Thoracosaurus macrorhynchus	Maastricht(ian??) crocodile	Draadbaan	Draadbaan	tba		FALSE																																		Thoracosaurus macrorhynchus	Maastricht(ian??) crocodile	Draadbaan	tba	FALSE										
RGM.124649	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.124864	IJstijd	DD3.2	Panthera spelaea		Toren				FALSE																																												Panthera spelaea				FALSE
RGM.124907	IJstijd	DD5.1	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.124972	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.124984	IJstijd	DD4 vitrine	Mammuthus primigenius		Toren	toren	16/17 kast reservering IJstijd		FALSE																																												Mammuthus primigenius		toren	16/17 kast reservering IJstijd	FALSE
RGM.124985	IJstijd	DD3.2	Panthera spelaea		Toren				FALSE																																												Panthera spelaea				FALSE
RGM.1252145	LiveScience	tba	Zandsteen (duinafzetting) cross-bedding	Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE	Zandsteen (duinafzetting) cross-bedding	Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252147	LiveScience	tba	mergel	Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE	mergel	Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252150	LiveScience	tba	tba	Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE	tba	Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252151	LiveScience	tba		Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE		Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252152	LiveScience	tba		Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE		Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252154	LiveScience	tba	tba	Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE	tba	Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252155	LiveScience	tba	concretie	Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE	concretie	Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252156	LiveScience	tba		Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE		Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252157	LiveScience	tba	conglomerate	Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE	conglomerate	Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1252174	LiveScience	tba	versteened hout	Stenen Delft op pallets (7x)	Draadbaan	Draadbaan	Linkerkant van de vide		FALSE	versteened hout	Stenen Delft op pallets (7x)	Draadbaan	Linkerkant van de vide	FALSE																																											
RGM.1256877	Dood	808.P.013	tba	Insecten in barnsteen	Toren	Toren		los onder stolp	FALSE																													tba	Insecten in barnsteen	Toren		FALSE															
RGM.1256878	Dood	808.P.013	tba	Insecten in barnsteen	Toren	Toren		los onder stolp	FALSE																													tba	Insecten in barnsteen	Toren		FALSE															
RGM.1256880	Dood	808.P.013	tba	Insecten in barnsteen	Toren	Toren		los onder stolp	FALSE																													tba	Insecten in barnsteen	Toren		FALSE															
RGM.1257014	Schatkamer 1.0	tba	mineralen en gesteentes schatkamer 1.0		Toren	toren			TRUE																					mineralen en gesteentes schatkamer 1.0		toren	TRUE																								
RGM.1257015	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1259160	Schatkamer 1.0	tba	mineralen en gesteentes schatkamer 1.0		Toren	toren			TRUE																					mineralen en gesteentes schatkamer 1.0		toren	TRUE																								
RGM.1259165	Schatkamer 1.0	tba	mineralen en gesteentes schatkamer 1.0		Toren	toren			TRUE																					mineralen en gesteentes schatkamer 1.0		toren	TRUE																								
RGM.1259167	Schatkamer 1.0	tba	mineralen en gesteentes schatkamer 1.0		Toren	toren			TRUE																					mineralen en gesteentes schatkamer 1.0		toren	TRUE																								
RGM.1259169	Schatkamer 1.0	tba	mineralen en gesteentes schatkamer 1.0		Toren	toren			TRUE																					mineralen en gesteentes schatkamer 1.0		toren	TRUE																								
RGM.1320749	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1320751	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1320756	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1320765	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1320772	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1320777	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.132551	IJstijd	DD3.2	Panthera spelaea		Toren				FALSE																																												Panthera spelaea				FALSE
RGM.132588	IJstijd	DD5.3	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.132916	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.132937	IJstijd	DD4 vitrine	Lutra lutra (L.)		Toren	toren	15/17 6-3-8 V10311 1		FALSE																																												Lutra lutra (L.)		toren	15/17 6-3-8 V10311 1	FALSE
RGM.133087	IJstijd	DD3.2	Crocuta spelaea		Toren				FALSE																																												Crocuta spelaea				FALSE
RGM.133090	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133097	IJstijd	DD8.3	Equus ferus		Toren	toren	16/17 kast reservering IJstijd		FALSE																																												Equus ferus		toren	16/17 kast reservering IJstijd	FALSE
RGM.133128	IJstijd	DD3.1	Ursus arctos L.		Toren	toren	15/17 6-3-6  V19000 1		FALSE																																												Ursus arctos L.		toren	15/17 6-3-6  V19000 1	FALSE
RGM.133172	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133173	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133181	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.1332242	Dinos	n/a	Rhynchosauroides peabodyi	Tracks of saurians of Winterswijk ('dance floor')	Draadbaan	Draadbaan	tba		FALSE																																		Rhynchosauroides peabodyi	Tracks of saurians of Winterswijk ('dance floor')	Draadbaan	tba	FALSE										
RGM.1332243	Dinos	n/a	Stegosaurus stenops	Stegosaurus skeleton	Draadbaan	draadbaan			FALSE																																		Stegosaurus stenops	Stegosaurus skeleton	draadbaan		FALSE										
RGM.1332244	Dinos	n/a	Edmontosaurus sp.	Anatosaurus lower jaw (Hadrosaur)	Draadbaan	Draadbaan	03.02.1		TRUE																																		Edmontosaurus sp.	Anatosaurus lower jaw (Hadrosaur)	Draadbaan	03.02.1	TRUE										
RGM.1332245	Dinos	n/a	Tyrannosaurus rex?	Tyrannosaurus coprolite (=poo!)	Vondellaan	Vondellaan			FALSE																																		Tyrannosaurus rex?	Tyrannosaurus coprolite (=poo!)	Vondellaan		FALSE										
RGM.1332246	Dinos	n/a	Archaeopteryx lithographica	Archaeopteryx Berlin-specimen cast	Draadbaan	Draadbaan	tba		FALSE																																		Archaeopteryx lithographica	Archaeopteryx Berlin-specimen cast	Draadbaan	tba	FALSE										
RGM.1332247	Dinos	n/a	tba	Triceratops skin imprint / cast	Vondellaan	Vondellaan			FALSE																																		tba	Triceratops skin imprint / cast	Vondellaan		FALSE										
RGM.1332248	Dinos	n/a	Unknown	Nest of oval dinosaur eggs (theropod?)	Extern	T. rex in town	tba		FALSE																																		Unknown	Nest of oval dinosaur eggs (theropod?)	T. rex in town	tba	FALSE										
RGM.1332249	Dinos	n/a	Stenopterygius quadriscessus	Stenopterygius 'Pesthuis'	Draadbaan	Draadbaan			FALSE																																		Stenopterygius quadriscessus	Stenopterygius 'Pesthuis'	Draadbaan		FALSE										
RGM.1332250	Dinos	n/a	Ichthyosaurus sp.	Stenopterygius (not necessarily giving birth; can also be a young being pushed out by decomposing gases)	Draadbaan	Draadbaan	tba		FALSE																																		Ichthyosaurus sp.	Stenopterygius (not necessarily giving birth; can also be a young being pushed out by decomposing gases)	Draadbaan	tba	FALSE										
RGM.1332251	IJstijd	CC3.2 vitrine	Mammuthus primigenius	Wolharige mammoet	Toren	toren	16/17		TRUE																																												Mammuthus primigenius	Wolharige mammoet	toren	16/17	TRUE
RGM.1332252	IJstijd	CC3.2 vitrine	Mammuthus primigenius	Wolharige mammoet	Toren	toren	16/17		TRUE																																												Mammuthus primigenius	Wolharige mammoet	toren	16/17	TRUE
RGM.1332309	Dood	808.P.010	Compsognathus sp.	Compsognathus	Museum	Extern		checken	FALSE																													Compsognathus sp.	Compsognathus	Extern		FALSE															
RGM.1332310	Dinos	n/a	Pikaia gracilens	Pikaia	Vondellaan	Vondellaan	tba		FALSE																																		Pikaia gracilens	Pikaia	Vondellaan	tba	FALSE										
RGM.1332311	IJstijd	DD4 vitrine	Protophormia terraenovae	Aasvlieg	Vondellaan	Vondellaan			FALSE																																												Protophormia terraenovae	Aasvlieg	Vondellaan		FALSE
RGM.1332500	Dinos	n/a	Triceratops horridus	Triceratops skeleton	Dinolab	Dinolab			FALSE																																		Triceratops horridus	Triceratops skeleton	Dinolab		FALSE										
RGM.133281	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133282	IJstijd	BB4.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133313	IJstijd	BB7	Bison priscus	Steppenwisent	Draadbaan	Draadbaan	03.06.1		TRUE																																												Bison priscus	Steppenwisent	Draadbaan	03.06.1	TRUE
RGM.133354	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133360	IJstijd	DD5.3	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.133402	IJstijd	BB4.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133416	IJstijd	DD5.1	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.133435	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133544	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133561	IJstijd	DD5.3	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.133574	IJstijd	DD5.1	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.133606	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133753	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133776	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133802	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.133813	IJstijd	BB5.2	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.1339042	Aarde	tba		basalt kolom 2	Draadbaan	Draadbaan	01.02.02		TRUE																	basalt kolom 2	Draadbaan	01.02.02	TRUE																												
RGM.1339046	Aarde	tba		basalt kolom 2	Draadbaan	Draadbaan	01.02.02		TRUE																	basalt kolom 2	Draadbaan	01.02.02	TRUE																												
RGM.1339047	Aarde	tba		basalt kolom 1	Draadbaan	Draadbaan	01.02.02		TRUE																	basalt kolom 1	Draadbaan	01.02.02	TRUE																												
RGM.133931	IJstijd	DD8.2	Equus hydruntinis		Toren	toren	15/17  1-8-6  V71461 1 		FALSE																																												Equus hydruntinis		toren	15/17  1-8-6  V71461 1 	FALSE
RGM.1339350	LiveScience	tba	n.v.t.	Tafel van Koning Willem I	Draadbaan	Draadbaan	L2		FALSE	n.v.t.	Tafel van Koning Willem I	Draadbaan	L2	FALSE																																											
RGM.1339591	Dood	808.P.002	tba	Aardolie uit Oman	Museum	Draadbaan	04.11.2	lijmen met siliconenlijm	TRUE																													tba	Aardolie uit Oman	Draadbaan	04.11.2	TRUE															
RGM.1339592	Dood	808.P.002	tba	Aardolie uit Oman	Museum	Draadbaan	04.11.2	lijmen met siliconenlijm	TRUE																													tba	Aardolie uit Oman	Draadbaan	04.11.2	TRUE															
RGM.1339593	Dood	808.P.002	tba	Aardolie uit Egypte	Museum	Draadbaan	04.11.2	lijmen met siliconenlijm	TRUE																													tba	Aardolie uit Egypte	Draadbaan	04.11.2	TRUE															
RGM.1339594	Dood	808.P.002	tba	Aardolie uit Yemen	Museum	Draadbaan	04.11.2	lijmen met siliconenlijm	TRUE																													tba	Aardolie uit Yemen	Draadbaan	04.11.2	TRUE															
RGM.1339595	Dood	808.P.002	tba	Aardolie uit Rotterdam	Museum	Draadbaan	04.11.2	lijmen met siliconenlijm	TRUE																													tba	Aardolie uit Rotterdam	Draadbaan	04.11.2	TRUE															
RGM.1339596	Schatkamer 1.0	tba	mineralen en gesteentes schatkamer 1.0		Toren	toren			FALSE																					mineralen en gesteentes schatkamer 1.0		toren	FALSE																								
RGM.1339597	Schatkamer 1.0	tba	mineralen en gesteentes schatkamer 1.0		Toren	toren			FALSE																					mineralen en gesteentes schatkamer 1.0		toren	FALSE																								
RGM.1339667	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.134013	IJstijd	CC2.2	Mammuthus primigenius		Toren	toren	15/16 5-5-5 V61313 20		FALSE																																												Mammuthus primigenius		toren	15/16 5-5-5 V61313 20	FALSE
RGM.1340811	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.134084	IJstijd	AA4.1	Coelodonta antiquitatis		Toren				FALSE																																												Coelodonta antiquitatis				FALSE
RGM.1340967	Aarde	tba		Scoria	Draadbaan	Draadbaan	01.02.03		TRUE																	Scoria	Draadbaan	01.02.03	TRUE																												
RGM.134098	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.134107	IJstijd	DD5.1	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.134122	IJstijd	DD3.2	Panthera spelaea		Toren				FALSE																																												Panthera spelaea				FALSE
RGM.134390	IJstijd	BB4.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.134404	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.134455	IJstijd	AA7.4	Hippopotamus amphibius L.		Toren	toren	15/16 6-3-3 V57130 1		FALSE																																												Hippopotamus amphibius L.		toren	15/16 6-3-3 V57130 1	FALSE
RGM.134530	IJstijd	BB4.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.134695	IJstijd	DD3.2	Panthera spelaea		Toren	toren	16/17 kast reservering IJstijd		FALSE																																												Panthera spelaea		toren	16/17 kast reservering IJstijd	FALSE
RGM.134751	IJstijd	DD3.2	Panthera spelaea		Toren				FALSE																																												Panthera spelaea				FALSE
RGM.134820	IJstijd	DD6.1	Mammuthus primigenius		Toren	toren			FALSE																																												Mammuthus primigenius		toren		FALSE
RGM.134889	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.134892	IJstijd	BB4.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.134896	IJstijd	BB5.1	Megaloceros giganteus		Toren				FALSE																																												Megaloceros giganteus				FALSE
RGM.134996	IJstijd	DD4 vitrine	Talpa europaea		Toren	Toren	15/17 4-3-6 V27311 1		FALSE																																												Talpa europaea		Toren	15/17 4-3-6 V27311 1	FALSE
RGM.135214	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352141	IJstijd	AA7.1	Tridonta borealis (Schumacher, 1817)	grote astarte	Rooseveltstraat	Rooseveltstraat			FALSE																																												Tridonta borealis (Schumacher, 1817)	grote astarte	Rooseveltstraat		FALSE
RGM.1352143	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352144	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352145	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352146	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352147	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352148	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352149	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352150	LiveScience	tba	n.v.t.	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat			FALSE	n.v.t.	Fossielen Winterswijk	Rooseveltstraat		FALSE																																											
RGM.1352163	LiveScience	tba	n.v.t.	Fossiele zeebodems (6x)	Toren	Darwinweg			FALSE	n.v.t.	Fossiele zeebodems (6x)	Darwinweg		FALSE																																											
RGM.1352164	LiveScience	tba	n.v.t.	Fossiele zeebodems (6x)	Toren	Darwinweg			FALSE	n.v.t.	Fossiele zeebodems (6x)	Darwinweg		FALSE																																											
RGM.1352165	LiveScience	tba	n.v.t.	Fossiele zeebodems (6x)	Toren	Darwinweg			FALSE	n.v.t.	Fossiele zeebodems (6x)	Darwinweg		FALSE																																											
RGM.1352166	LiveScience	tba	n.v.t.	Fossiele zeebodems (6x)	Toren	Darwinweg			FALSE	n.v.t.	Fossiele zeebodems (6x)	Darwinweg		FALSE																																											
RGM.1352167	LiveScience	tba	n.v.t.	Fossiele zeebodems (6x)	Toren	Darwinweg			FALSE	n.v.t.	Fossiele zeebodems (6x)	Darwinweg		FALSE																																											
RGM.1352168	LiveScience	tba	n.v.t.	Fossiele zeebodems (6x)	Toren	Darwinweg			FALSE	n.v.t.	Fossiele zeebodems (6x)	Darwinweg		FALSE																																											
RGM.1358267	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1358268	Aarde	tba		vulkaan model kaartje	Draadbaan	Draadbaan - uit vulkaan modellen collectie	01.03.02		TRUE																	vulkaan model kaartje	Draadbaan - uit vulkaan modellen collectie	01.03.02	TRUE																												
RGM.1360001	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1360002	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360003	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360004	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360005	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360006	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360007	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360008	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360009	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360010	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360011	LiveScience	tba	n.v.t.	Hauy modellen (10 stuks)	Toren	Toren	17R		FALSE	n.v.t.	Hauy modellen (10 stuks)	Toren	17R	FALSE																																											
RGM.1360012	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
RGM.1360013	Schatkamer 2.0	tba	Schatkamer object 2.0		Toren	Toren			TRUE																									Schatkamer object 2.0		Toren	TRUE																				
